train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
 0.5197854042,  0.4334402084,  0.5510843396,  0.78614843,  0.78379929,  0.78066140,  0.77899593,  0.70144469,  0.70560467
 0.2611643672,  0.2856392860,  0.3483820558,  0.86321670,  0.85510164,  0.87120879,  0.86302727,  0.85070431,  0.85435826
 0.1686931551,  0.1580616534,  0.7818661928,  0.94720238,  0.94911671,  0.94062251,  0.94302744,  0.67676622,  0.68106329
 0.1326380670,  0.1363026798,  0.7633063197,  0.95302242,  0.95426524,  0.94698912,  0.94876963,  0.68562883,  0.68990809
 0.1194239855,  0.1217959896,  0.6158158183,  0.95385319,  0.95515770,  0.94853657,  0.95035565,  0.76647329,  0.77185124
 0.1110762581,  0.1118166447,  0.5878065228,  0.96057951,  0.96096456,  0.95600849,  0.95692068,  0.76305073,  0.76861000
 0.1056778580,  0.1105341464,  0.5824095607,  0.96022409,  0.96088058,  0.95574319,  0.95689833,  0.78164065,  0.78684556
 0.1027190536,  0.1057998911,  0.5925850272,  0.96178794,  0.96217263,  0.95733488,  0.95824498,  0.77400297,  0.77940571
 0.1028015614,  0.1060618758,  0.5736666918,  0.96138811,  0.96196884,  0.95662749,  0.95770693,  0.78383833,  0.78901321
 0.1018681377,  0.1052209809,  0.5966486335,  0.96138811,  0.96198076,  0.95649481,  0.95759791,  0.76816660,  0.77364963
 0.1025783047,  0.1062897071,  0.5897093415,  0.96048623,  0.96126211,  0.95561057,  0.95685899,  0.78092015,  0.78611022
 0.1009907573,  0.1042925417,  0.5823433995,  0.96190345,  0.96241015,  0.95720226,  0.95821005,  0.78005546,  0.78532064
 0.1031056866,  0.1037541777,  0.5924407840,  0.96233439,  0.96275312,  0.95782119,  0.95875508,  0.76589692,  0.77141947
 0.0995570421,  0.1045295447,  0.5822950602,  0.96166795,  0.96223533,  0.95693696,  0.95801383,  0.78293765,  0.78812295
 0.0997159109,  0.1054482162,  0.5829424262,  0.96113932,  0.96183985,  0.95627373,  0.95745897,  0.78664839,  0.79170889
 0.1003818065,  0.1037639827,  0.5801890492,  0.96228999,  0.96271747,  0.95773280,  0.95866120,  0.78124440,  0.78648806
 0.0997915715,  0.1040625274,  0.5771221519,  0.96260095,  0.96297675,  0.95799804,  0.95889556,  0.77991140,  0.78518677
 0.0985218436,  0.1049906835,  0.5828161240,  0.96137923,  0.96202958,  0.95653903,  0.95769644,  0.79071945,  0.79566061
 0.1002885103,  0.1048979834,  0.5815002322,  0.96148139,  0.96209776,  0.95658326,  0.95770693,  0.78848577,  0.79350084
 0.1012211293,  0.1054651439,  0.5902572274,  0.96042848,  0.96123064,  0.95552218,  0.95679128,  0.77962315,  0.78484708
 0.1002714857,  0.1053937525,  0.5851992369,  0.96104598,  0.96176052,  0.95627373,  0.95746386,  0.78236121,  0.78752887
 0.0988725275,  0.1035638526,  0.5790713429,  0.96224552,  0.96268904,  0.95768857,  0.95862418,  0.78621608,  0.79130971
 0.1014937013,  0.1041886806,  0.5821973085,  0.96197456,  0.96246457,  0.95751172,  0.95851511,  0.77782184,  0.78314018
 0.0995201319,  0.1055208668,  0.5850932002,  0.96109045,  0.96179432,  0.95627373,  0.95746869,  0.78978276,  0.79474545
 0.0998259932,  0.1040939912,  0.5810795426,  0.96193898,  0.96246946,  0.95729065,  0.95833045,  0.78524333,  0.79036611
 0.0996745825,  0.1050691977,  0.5856546760,  0.96126372,  0.96195549,  0.95631796,  0.95750374,  0.79497063,  0.79976207
 0.1008560210,  0.1040297225,  0.5879655480,  0.96164131,  0.96223927,  0.95667166,  0.95778185,  0.77594841,  0.78128421
 0.1012073979,  0.1040643081,  0.5823244452,  0.96193010,  0.96244961,  0.95724642,  0.95827562,  0.78178477,  0.78700978
 0.0994229838,  0.1035431698,  0.5796915293,  0.96220553,  0.96265244,  0.95768857,  0.95862418,  0.78362215,  0.78879678
 0.1002714857,  0.1048560366,  0.5841441751,  0.96142364,  0.96206355,  0.95658326,  0.95772487,  0.78693664,  0.79199713
 0.0995566547,  0.1043235660,  0.5847054720,  0.96192569,  0.96243614,  0.95737910,  0.95839179,  0.77544403,  0.78079176
 0.1007652506,  0.1046500802,  0.5815678239,  0.96171683,  0.96230137,  0.95689273,  0.95798194,  0.78182077,  0.78703743
 0.0999770388,  0.1042464077,  0.5795005560,  0.96205896,  0.96253210,  0.95755595,  0.95853138,  0.78084809,  0.78610533
 0.1009342447,  0.1036075279,  0.5796898603,  0.96224552,  0.96268320,  0.95773280,  0.95866954,  0.77994740,  0.78522807
 0.1003897637,  0.1041081324,  0.5864706039,  0.96176130,  0.96233577,  0.95693696,  0.95802158,  0.77630866,  0.78164142
 0.1008694768,  0.1041151509,  0.5779774189,  0.96213889,  0.96257371,  0.95764434,  0.95858163,  0.78416258,  0.78932393
 0.0997022018,  0.1035014391,  0.5783274174,  0.96262759,  0.96298689,  0.95799804,  0.95889264,  0.77973121,  0.78501296
 0.1003391966,  0.1046497822,  0.5851139426,  0.96131700,  0.96198654,  0.95640641,  0.95756125,  0.77937096,  0.78464353
 0.0998563543,  0.1047101170,  0.5843133926,  0.96132588,  0.96199358,  0.95653903,  0.95770484,  0.79133189,  0.79624581
 0.1008605734,  0.1041229665,  0.5795246959,  0.96208113,  0.96254396,  0.95768857,  0.95863742,  0.78185683,  0.78707963
 0.1001418084,  0.1038503498,  0.5831665397,  0.96197897,  0.96246922,  0.95742327,  0.95842123,  0.77883059,  0.78413612
 0.0999547243,  0.1034942716,  0.5792365074,  0.96228111,  0.96272618,  0.95777696,  0.95872992,  0.78185683,  0.78707677
 0.0995499045,  0.1037849560,  0.5825179815,  0.96197456,  0.96248603,  0.95742327,  0.95844263,  0.77854234,  0.78385282
 0.0993751958,  0.1047511622,  0.5820042491,  0.96156579,  0.96216428,  0.95684850,  0.95794302,  0.78369421,  0.78885782
 0.1020742431,  0.1062798724,  0.5871162415,  0.96068168,  0.96145320,  0.95583165,  0.95707643,  0.79605144,  0.80076694
 0.0994869322,  0.1069970056,  0.5880313516,  0.96003306,  0.96089727,  0.95534527,  0.95665985,  0.79129589,  0.79615837
 0.0997832939,  0.1053683013,  0.5855145454,  0.96102822,  0.96175271,  0.95622957,  0.95742869,  0.78203696,  0.78720772
 0.0996260494,  0.1040321663,  0.5809206963,  0.96206337,  0.96254832,  0.95760012,  0.95859212,  0.78178477,  0.78701109
 0.1008937135,  0.1036133990,  0.5833904147,  0.96214336,  0.96260947,  0.95782119,  0.95879984,  0.77623665,  0.78158247
 0.1001839861,  0.1037117094,  0.5764617324,  0.96260983,  0.96299523,  0.95790964,  0.95880657,  0.78164065,  0.78687739
 0.0998851582,  0.1036951318,  0.5775274038,  0.96232104,  0.96274579,  0.95782119,  0.95874375,  0.78481102,  0.78995109
 0.1022042483,  0.1040997133,  0.5959582925,  0.96153468,  0.96215087,  0.95662749,  0.95775306,  0.76823866,  0.77370042
 0.0999578461,  0.1053652018,  0.5834954977,  0.96126813,  0.96194011,  0.95649481,  0.95765382,  0.78340596,  0.78856069
 0.1003155485,  0.1037165970,  0.5760774016,  0.96290749,  0.96321827,  0.95839596,  0.95924377,  0.78027165,  0.78554767
 0.0994867459,  0.1043581069,  0.5818754435,  0.96173465,  0.96229404,  0.95706958,  0.95814437,  0.79010701,  0.79507959
 0.0998847857,  0.1048581153,  0.5855226517,  0.96135253,  0.96199870,  0.95649481,  0.95764625,  0.77861440,  0.78390372
 0.0999707952,  0.1041932255,  0.5810982585,  0.96195674,  0.96247011,  0.95733488,  0.95835179,  0.78023559,  0.78550810
 0.0995613933,  0.1035291851,  0.5747551918,  0.96291637,  0.96318483,  0.95879388,  0.95958787,  0.78210902,  0.78734720
 0.1017313227,  0.1035403684,  0.5824739933,  0.96232104,  0.96275431,  0.95773280,  0.95866126,  0.77861440,  0.78391373
 0.0993488505,  0.1038821414,  0.5782675147,  0.96223223,  0.96267784,  0.95777696,  0.95872992,  0.78088409,  0.78613746
 0.1005332097,  0.1027516648,  0.5755496621,  0.96312076,  0.96335554,  0.95888233,  0.95965320,  0.78113627,  0.78640324
 0.0996398926,  0.1043586433,  0.5824043751,  0.96169466,  0.96225214,  0.95698118,  0.95805639,  0.78174877,  0.78696352
 0.0993667990,  0.1051447690,  0.5860636830,  0.96091270,  0.96165645,  0.95600849,  0.95721948,  0.78556758,  0.79063839
 0.1005872339,  0.1036225483,  0.5818339586,  0.96215671,  0.96261942,  0.95773280,  0.95869297,  0.78048778,  0.78574938
 0.1014098674,  0.1036529168,  0.5763928294,  0.96259207,  0.96295881,  0.95808649,  0.95898163,  0.78427064,  0.78942972
 0.0995238721,  0.1057720557,  0.5834923983,  0.96099269,  0.96171230,  0.95618534,  0.95738626,  0.79169220,  0.79657829
 0.1011212841,  0.1036958396,  0.5825901628,  0.96197456,  0.96248662,  0.95737910,  0.95839417,  0.78491914,  0.79005069
