train_loss,test1_loss,test2_loss,train_micro,train_macro,test1_micro,test1_macro,test2_micro,test2_macro
 0.4341421127,  0.2902902067,  1.0036332607,  0.88998872,  0.89222032,  0.87832701,  0.88111281,  0.60215443,  0.60656756
 0.2120899260,  0.3037324548,  1.6035141945,  0.86590016,  0.87272382,  0.85653019,  0.86375570,  0.55571568,  0.56093198
 0.1506465673,  0.1294544339,  0.6759567261,  0.96384048,  0.96226943,  0.95985496,  0.95855469,  0.74006557,  0.74347013
 0.1114241630,  0.1021879315,  0.6780393124,  0.97460973,  0.97543216,  0.96927226,  0.97039378,  0.75926793,  0.76314646
 0.0856589079,  0.0739772618,  0.5153976679,  0.99088347,  0.99016356,  0.99124593,  0.99059939,  0.79086357,  0.79462463
 0.0699776188,  0.0647293851,  0.4886883795,  0.99565053,  0.99548787,  0.99473870,  0.99470472,  0.80177975,  0.80564719
 0.0639378875,  0.0625481606,  0.5328337550,  0.99625921,  0.99650323,  0.99429655,  0.99470282,  0.78999895,  0.79350448
 0.0579294786,  0.0562766790,  0.4281717539,  0.99844062,  0.99840832,  0.99787778,  0.99785537,  0.81813598,  0.82222247
 0.0553192124,  0.0548594594,  0.4768836796,  0.99852055,  0.99858791,  0.99823147,  0.99833506,  0.80404943,  0.80784827
 0.0530716181,  0.0533520021,  0.4263428748,  0.99888045,  0.99890119,  0.99854100,  0.99858755,  0.81982923,  0.82392061
 0.0530368090,  0.0522560887,  0.4617921412,  0.99896038,  0.99898612,  0.99867362,  0.99872833,  0.80711174,  0.81111866
 0.0525030382,  0.0511556901,  0.4238968790,  0.99928027,  0.99925947,  0.99893892,  0.99893910,  0.81820804,  0.82249010
 0.0518321283,  0.0508189425,  0.4336860478,  0.99915141,  0.99914187,  0.99876207,  0.99878037,  0.81687504,  0.82104200
 0.0525257215,  0.0526427813,  0.4171333611,  0.99900484,  0.99905676,  0.99862939,  0.99868834,  0.82451272,  0.82854527
 0.0508624837,  0.0500229560,  0.4274687469,  0.99929804,  0.99926907,  0.99907154,  0.99905163,  0.81734335,  0.82165748
 0.0514403358,  0.0524753593,  0.4334143102,  0.99899149,  0.99904960,  0.99867362,  0.99873835,  0.81709117,  0.82111514
 0.0507849865,  0.0508070700,  0.4295066595,  0.99918699,  0.99918967,  0.99889469,  0.99892914,  0.81730735,  0.82144380
 0.0512883887,  0.0521944277,  0.4264917374,  0.99911147,  0.99913603,  0.99885046,  0.99889916,  0.81799185,  0.82209796
